Day,lotType,lotSpaces,lotVacancy,lotOccupied,percentCapacity
22,lot3,1192,1192,0.0,0.0
22,lot4_general,1430,1430,0.0,0.0
22,lot4_premium,352,352,0.0,0.0
22,lot5,2200,2200,0.0,0.0
22,lot6,-1,-1,-1.0,-1.0
23,lot2_general,1219,1219,0.0,0.0
23,lot2_premium,324,324,0.0,0.0
23,lot3,1192,1192,0.0,0.0
23,lot4_general,1430,1430,0.0,0.0
23,lot4_premium,352,352,0.0,0.0
23,lot5,2200,2200,0.0,0.0
23,lot6,-1,-1,-1.0,-1.0
24,lot2_general,1219,1219,0.0,0.0
24,lot2_premium,324,324,0.0,0.0
24,lot3,1192,1192,0.0,0.0
24,lot4_general,1430,1430,0.0,0.0
24,lot4_premium,352,352,0.0,0.0
24,lot5,2200,2200,0.0,0.0
24,lot6,-1,-1,-1.0,-1.0
25,lot2_general,1219,1219,0.0,0.0
25,lot2_premium,324,324,0.0,0.0
25,lot3,1192,1192,0.0,0.0
25,lot4_general,1430,1430,0.0,0.0
25,lot4_premium,352,352,0.0,0.0
25,lot5,2200,2200,0.0,0.0
25,lot6,-1,-1,-1.0,-1.0
26,lot2_general,1219,1219,0.0,0.0
26,lot2_premium,324,324,0.0,0.0
26,lot3,1192,1192,0.0,0.0
26,lot4_general,1430,1430,0.0,0.0
26,lot4_premium,352,352,0.0,0.0
26,lot5,2200,2200,0.0,0.0
26,lot6,-1,-1,-1.0,-1.0
27,lot2_general,1219,1219,0.0,0.0
27,lot2_premium,324,324,0.0,0.0
27,lot3,1192,1192,0.0,0.0
27,lot4_general,1430,1430,0.0,0.0
27,lot4_premium,352,352,0.0,0.0
27,lot5,2200,2200,0.0,0.0
27,lot6,-1,-1,-1.0,-1.0
28,lot2_general,1219,1219,0.0,0.0
28,lot2_premium,324,324,0.0,0.0
28,lot3,1192,1192,0.0,0.0
28,lot4_general,1430,1430,0.0,0.0
28,lot4_premium,352,352,0.0,0.0
28,lot5,2200,2200,0.0,0.0
28,lot6,-1,-1,-1.0,-1.0
29,lot2_general,1219,1040,179.0,0.1468416735028712
29,lot2_premium,324,302,22.0,0.06790123456790123
29,lot3,1192,1188,4.0,0.003355704697986577
29,lot4_general,1430,983,447.0,0.31258741258741257
29,lot4_premium,352,247,105.0,0.29829545454545453
29,lot5,2200,2177,23.0,0.010454545454545454
29,lot6,-1,-1,-1.0,-1.0
30,lot2_general,1219,1057,162.0,0.13289581624282198
30,lot2_premium,324,301,23.0,0.07098765432098765
30,lot3,1192,1188,4.0,0.003355704697986577
30,lot4_general,1430,959,471.0,0.3293706293706294
30,lot4_premium,352,241,111.0,0.3153409090909091
30,lot5,2200,2181,19.0,0.008636363636363636
30,lot6,-1,-1,-1.0,-1.0
31,lot2_general,1219,1055,164.0,0.13453650533223954
31,lot2_premium,324,298,26.0,0.08024691358024691
31,lot3,1192,1188,4.0,0.003355704697986577
31,lot4_general,1430,1068,362.0,0.25314685314685315
31,lot4_premium,352,232,120.0,0.3409090909090909
31,lot5,2200,2181,19.0,0.008636363636363636
31,lot6,-1,-1,-1.0,-1.0
32,lot2_general,1219,1032,187.0,0.15340442986054142
32,lot2_premium,324,297,27.0,0.08333333333333333
32,lot3,1192,1188,4.0,0.003355704697986577
32,lot4_general,1430,939,491.0,0.34335664335664334
32,lot4_premium,352,215,137.0,0.38920454545454547
32,lot5,2200,2180,20.0,0.00909090909090909
32,lot6,-1,-1,-1.0,-1.0
33,lot2_general,1219,1024,195.0,0.15996718621821165
33,lot2_premium,324,301,23.0,0.07098765432098765
33,lot3,1192,1188,4.0,0.003355704697986577
33,lot4_general,1430,924,506.0,0.35384615384615387
33,lot4_premium,352,201,151.0,0.4289772727272727
33,lot5,2200,2180,20.0,0.00909090909090909
33,lot6,-1,-1,-1.0,-1.0
34,lot2_general,1219,1219,0.0,0.0
34,lot2_premium,324,324,0.0,0.0
34,lot3,1192,1192,0.0,0.0
34,lot4_general,1430,1430,0.0,0.0
34,lot4_premium,352,352,0.0,0.0
34,lot5,2200,2200,0.0,0.0
34,lot6,-1,-1,-1.0,-1.0
35,lot2_general,1219,1219,0.0,0.0
35,lot2_premium,324,324,0.0,0.0
35,lot3,1192,1192,0.0,0.0
35,lot4_general,1430,1430,0.0,0.0
35,lot4_premium,352,352,0.0,0.0
35,lot5,2200,2200,0.0,0.0
35,lot6,-1,-1,-1.0,-1.0
36,lot2_general,1219,1219,0.0,0.0
36,lot2_premium,324,324,0.0,0.0
36,lot3,1192,1192,0.0,0.0
36,lot4_general,1430,1430,0.0,0.0
36,lot4_premium,352,352,0.0,0.0
36,lot5,2200,2200,0.0,0.0
36,lot6,-1,-1,-1.0,-1.0
37,lot2_general,1219,1219,0.0,0.0
37,lot2_premium,324,324,0.0,0.0
37,lot3,1192,1192,0.0,0.0
37,lot4_general,1430,1430,0.0,0.0
37,lot4_premium,352,352,0.0,0.0
37,lot5,2200,2200,0.0,0.0
37,lot6,-1,-1,-1.0,-1.0
38,lot2_general,1219,1052,167.0,0.13699753896636588
38,lot2_premium,324,300,24.0,0.07407407407407407
38,lot3,1192,1188,4.0,0.003355704697986577
38,lot4_general,1430,844,586.0,0.4097902097902098
38,lot4_premium,352,155,197.0,0.5596590909090909
38,lot5,2200,2181,19.0,0.008636363636363636
38,lot6,-1,-1,-1.0,-1.0
39,lot2_general,1219,1219,0.0,0.0
39,lot2_premium,324,324,0.0,0.0
39,lot3,1192,1192,0.0,0.0
39,lot4_general,1430,1430,0.0,0.0
39,lot4_premium,352,352,0.0,0.0
39,lot5,2200,2200,0.0,0.0
39,lot6,-1,-1,-1.0,-1.0
40,lot2_general,1219,1011,208.0,0.17063166529942575
40,lot2_premium,324,289,35.0,0.10802469135802469
40,lot3,1192,1188,4.0,0.003355704697986577
40,lot4_general,1430,699,731.0,0.5111888111888112
40,lot4_premium,352,142,210.0,0.5965909090909091
40,lot5,2200,2183,17.0,0.007727272727272728
40,lot6,-1,-1,-1.0,-1.0
41,lot2_general,1219,1219,0.0,0.0
41,lot2_premium,324,324,0.0,0.0
41,lot3,1192,1192,0.0,0.0
41,lot4_general,1430,1430,0.0,0.0
41,lot4_premium,352,352,0.0,0.0
41,lot5,2200,2200,0.0,0.0
41,lot6,-1,-1,-1.0,-1.0
42,lot2_general,1219,1219,0.0,0.0
42,lot2_premium,324,324,0.0,0.0
42,lot3,1192,1192,0.0,0.0
42,lot4_general,1430,1430,0.0,0.0
42,lot4_premium,352,352,0.0,0.0
42,lot5,2200,2200,0.0,0.0
42,lot6,-1,-1,-1.0,-1.0
43,lot2_general,1219,1010,209.0,0.17145200984413453
43,lot2_premium,324,292,32.0,0.09876543209876543
43,lot3,1192,1188,4.0,0.003355704697986577
43,lot4_general,1430,654,776.0,0.5426573426573427
43,lot4_premium,352,146,206.0,0.5852272727272727
43,lot5,2200,2185,15.0,0.006818181818181818
43,lot6,-1,-1,-1.0,-1.0
44,lot2_general,1219,1019,200.0,0.16406890894175555
44,lot2_premium,324,295,29.0,0.08950617283950617
44,lot3,1192,1188,4.0,0.003355704697986577
44,lot4_general,1430,732,698.0,0.4881118881118881
44,lot4_premium,352,127,225.0,0.6392045454545454
44,lot5,2200,2184,16.0,0.007272727272727273
44,lot6,-1,-1,-1.0,-1.0
45,lot2_general,1219,1002,217.0,0.17801476620180476
45,lot2_premium,324,296,28.0,0.08641975308641975
45,lot3,1192,1188,4.0,0.003355704697986577
45,lot4_general,1430,687,743.0,0.5195804195804196
45,lot4_premium,352,115,237.0,0.6732954545454546
45,lot5,2200,2184,16.0,0.007272727272727273
45,lot6,-1,-1,-1.0,-1.0
46,lot2_general,1219,1004,215.0,0.1763740771123872
46,lot2_premium,324,295,29.0,0.08950617283950617
46,lot3,1192,1188,4.0,0.003355704697986577
46,lot4_general,1430,625,805.0,0.5629370629370629
46,lot4_premium,352,126,226.0,0.6420454545454546
46,lot5,2200,2186,14.0,0.006363636363636364
46,lot6,-1,-1,-1.0,-1.0
47,lot2_general,1219,1219,0.0,0.0
47,lot2_premium,324,324,0.0,0.0
47,lot3,1192,1192,0.0,0.0
47,lot4_general,1430,1430,0.0,0.0
47,lot4_premium,352,352,0.0,0.0
47,lot5,2200,2200,0.0,0.0
47,lot6,-1,-1,-1.0,-1.0
48,lot2_general,1219,1219,0.0,0.0
48,lot2_premium,324,324,0.0,0.0
48,lot3,1192,1192,0.0,0.0
48,lot4_general,1430,1430,0.0,0.0
48,lot4_premium,352,352,0.0,0.0
48,lot5,2200,2200,0.0,0.0
48,lot6,-1,-1,-1.0,-1.0
49,lot2_general,1219,1219,0.0,0.0
49,lot2_premium,324,324,0.0,0.0
49,lot3,1192,1192,0.0,0.0
49,lot4_general,1430,1430,0.0,0.0
49,lot4_premium,352,352,0.0,0.0
49,lot5,2200,2200,0.0,0.0
49,lot6,-1,-1,-1.0,-1.0
50,lot2_general,1219,1219,0.0,0.0
50,lot2_premium,324,324,0.0,0.0
50,lot3,1192,1192,0.0,0.0
50,lot4_general,1430,1430,0.0,0.0
50,lot4_premium,352,352,0.0,0.0
50,lot5,2200,2200,0.0,0.0
50,lot6,-1,-1,-1.0,-1.0
51,lot2_general,1219,961,258.0,0.21164889253486463
51,lot2_premium,324,300,24.0,0.07407407407407407
51,lot3,1192,1189,3.0,0.0025167785234899327
51,lot4_general,1430,544,886.0,0.6195804195804195
51,lot4_premium,352,122,230.0,0.6534090909090909
51,lot5,2200,2177,23.0,0.010454545454545454
51,lot6,-1,-1,-1.0,-1.0
52,lot2_general,1219,950,269.0,0.2206726825266612
52,lot2_premium,324,292,32.0,0.09876543209876543
52,lot3,1192,1189,3.0,0.0025167785234899327
52,lot4_general,1430,492,938.0,0.6559440559440559
52,lot4_premium,352,109,243.0,0.6903409090909091
52,lot5,2200,2175,25.0,0.011363636363636364
52,lot6,-1,-1,-1.0,-1.0
53,lot2_general,1219,955,264.0,0.2165709598031173
53,lot2_premium,324,291,33.0,0.10185185185185185
53,lot3,1192,1189,3.0,0.0025167785234899327
53,lot4_general,1430,536,894.0,0.6251748251748251
53,lot4_premium,352,96,256.0,0.7272727272727273
53,lot5,2200,2178,22.0,0.01
53,lot6,-1,-1,-1.0,-1.0
