Day,lotType,lotSpaces,lotVacancy,lotOccupied,percentCapacity
238,lot4_premium,352,201,151.0,0.4289772727272727
238,lot5,2200,2200,0.0,0.0
238,lot6,-1,-1,-1.0,-1.0
239,lot2_general,1219,1219,0.0,0.0
239,lot2_premium,324,324,0.0,0.0
239,lot3,1192,1192,0.0,0.0
239,lot4_general,1430,1430,0.0,0.0
239,lot4_premium,352,352,0.0,0.0
239,lot5,2200,2200,0.0,0.0
239,lot6,-1,-1,-1.0,-1.0
240,lot2_general,1219,1219,0.0,0.0
240,lot2_premium,324,324,0.0,0.0
240,lot3,1192,1192,0.0,0.0
240,lot4_general,1430,1430,0.0,0.0
240,lot4_premium,352,352,0.0,0.0
240,lot5,2200,2200,0.0,0.0
240,lot6,-1,-1,-1.0,-1.0
241,lot2_general,1219,814,405.0,0.33223954060705496
241,lot2_premium,324,296,28.0,0.08641975308641975
241,lot3,1192,635,557.0,0.4672818791946309
241,lot4_general,1430,919,511.0,0.35734265734265735
241,lot4_premium,352,209,143.0,0.40625
241,lot5,2200,2200,0.0,0.0
241,lot6,-1,-1,-1.0,-1.0
242,lot2_general,1219,834,385.0,0.3158326497128794
242,lot2_premium,324,299,25.0,0.07716049382716049
242,lot3,1192,672,520.0,0.436241610738255
242,lot4_general,1430,904,526.0,0.3678321678321678
242,lot4_premium,352,188,164.0,0.4659090909090909
242,lot5,2200,2200,0.0,0.0
242,lot6,-1,-1,-1.0,-1.0
243,lot2_general,1219,1219,0.0,0.0
243,lot2_premium,324,324,0.0,0.0
243,lot3,1192,1192,0.0,0.0
243,lot4_general,1430,1430,0.0,0.0
243,lot4_premium,352,352,0.0,0.0
243,lot5,2200,2200,0.0,0.0
243,lot6,-1,-1,-1.0,-1.0
244,lot2_general,1219,1219,0.0,0.0
244,lot2_premium,324,324,0.0,0.0
244,lot3,1192,1192,0.0,0.0
244,lot4_general,1430,1430,0.0,0.0
244,lot4_premium,352,352,0.0,0.0
244,lot5,2200,2200,0.0,0.0
244,lot6,-1,-1,-1.0,-1.0
245,lot2_general,1219,993,226.0,0.18539786710418377
245,lot2_premium,324,299,25.0,0.07716049382716049
245,lot3,1192,833,359.0,0.3011744966442953
245,lot4_general,1430,1142,288.0,0.2013986013986014
245,lot4_premium,352,273,79.0,0.22443181818181818
245,lot5,2200,2200,0.0,0.0
245,lot6,-1,-1,-1.0,-1.0
246,lot2_general,1219,1219,0.0,0.0
246,lot2_premium,324,324,0.0,0.0
246,lot3,1192,1192,0.0,0.0
246,lot4_general,1430,1430,0.0,0.0
246,lot4_premium,352,352,0.0,0.0
246,lot5,2200,2200,0.0,0.0
246,lot6,-1,-1,-1.0,-1.0
247,lot2_general,1219,1016,203.0,0.16652994257588188
247,lot2_premium,324,291,33.0,0.10185185185185185
247,lot3,1192,914,278.0,0.2332214765100671
247,lot4_general,1430,1063,367.0,0.25664335664335663
247,lot4_premium,352,240,112.0,0.3181818181818182
247,lot5,2200,2200,0.0,0.0
247,lot6,-1,-1,-1.0,-1.0
248,lot2_general,1219,1015,204.0,0.16735028712059064
248,lot2_premium,324,291,33.0,0.10185185185185185
248,lot3,1192,894,298.0,0.25
248,lot4_general,1430,1053,377.0,0.2636363636363636
248,lot4_premium,352,233,119.0,0.3380681818181818
248,lot5,2200,2200,0.0,0.0
248,lot6,-1,-1,-1.0,-1.0
249,lot2_general,1219,1022,197.0,0.1616078753076292
249,lot2_premium,324,226,98.0,0.30246913580246915
249,lot3,1192,886,306.0,0.25671140939597314
249,lot4_general,1430,1084,346.0,0.24195804195804196
249,lot4_premium,352,243,109.0,0.3096590909090909
249,lot5,2200,2200,0.0,0.0
249,lot6,-1,-1,-1.0,-1.0
250,lot2_general,1219,1219,0.0,0.0
250,lot2_premium,324,324,0.0,0.0
250,lot3,1192,1192,0.0,0.0
250,lot4_general,1430,1430,0.0,0.0
250,lot4_premium,352,352,0.0,0.0
250,lot5,2200,2200,0.0,0.0
250,lot6,-1,-1,-1.0,-1.0
251,lot2_general,1219,1049,170.0,0.13945857260049221
251,lot2_premium,324,301,23.0,0.07098765432098765
251,lot3,1192,912,280.0,0.2348993288590604
251,lot4_general,1430,1105,325.0,0.22727272727272727
251,lot4_premium,352,254,98.0,0.2784090909090909
251,lot5,2200,2200,0.0,0.0
251,lot6,-1,-1,-1.0,-1.0
252,lot2_general,1219,984,235.0,0.19278096800656275
252,lot2_premium,324,234,90.0,0.2777777777777778
252,lot3,1192,909,283.0,0.23741610738255034
252,lot4_general,1430,1252,178.0,0.12447552447552447
252,lot4_premium,352,329,23.0,0.06534090909090909
252,lot5,2200,2200,0.0,0.0
252,lot6,-1,-1,-1.0,-1.0
253,lot2_general,1219,1219,0.0,0.0
253,lot2_premium,324,324,0.0,0.0
253,lot3,1192,1192,0.0,0.0
253,lot4_general,1430,1430,0.0,0.0
253,lot4_premium,352,352,0.0,0.0
253,lot5,2200,2200,0.0,0.0
253,lot6,-1,-1,-1.0,-1.0
254,lot2_general,1219,1058,161.0,0.1320754716981132
254,lot2_premium,324,286,38.0,0.11728395061728394
254,lot3,1192,920,272.0,0.22818791946308725
254,lot4_general,1430,1076,354.0,0.24755244755244754
254,lot4_premium,352,231,121.0,0.34375
254,lot5,2200,2200,0.0,0.0
254,lot6,-1,-1,-1.0,-1.0
255,lot2_general,1219,1044,175.0,0.1435602953240361
255,lot2_premium,324,282,42.0,0.12962962962962962
255,lot3,1192,876,316.0,0.2651006711409396
255,lot4_general,1430,1048,382.0,0.26713286713286716
255,lot4_premium,352,231,121.0,0.34375
255,lot5,2200,2200,0.0,0.0
255,lot6,-1,-1,-1.0,-1.0
256,lot2_general,1219,1059,160.0,0.13125512715340443
256,lot2_premium,324,289,35.0,0.10802469135802469
256,lot3,1192,902,290.0,0.24328859060402686
256,lot4_general,1430,1095,335.0,0.23426573426573427
256,lot4_premium,352,247,105.0,0.29829545454545453
256,lot5,2200,2200,0.0,0.0
256,lot6,-1,-1,-1.0,-1.0
257,lot2_general,1219,1219,0.0,0.0
257,lot2_premium,324,324,0.0,0.0
257,lot3,1192,1192,0.0,0.0
257,lot4_general,1430,1430,0.0,0.0
257,lot4_premium,352,352,0.0,0.0
257,lot5,2200,2200,0.0,0.0
257,lot6,-1,-1,-1.0,-1.0
258,lot2_general,1219,949,270.0,0.22149302707136997
258,lot2_premium,324,294,30.0,0.09259259259259259
258,lot3,1192,807,385.0,0.32298657718120805
258,lot4_general,1430,1032,398.0,0.2783216783216783
258,lot4_premium,352,208,144.0,0.4090909090909091
258,lot5,2200,2200,0.0,0.0
258,lot6,-1,-1,-1.0,-1.0
259,lot2_general,1219,1023,196.0,0.16078753076292043
259,lot2_premium,324,292,32.0,0.09876543209876543
259,lot3,1192,824,368.0,0.3087248322147651
259,lot4_general,1430,1095,335.0,0.23426573426573427
259,lot4_premium,352,226,126.0,0.35795454545454547
259,lot5,2200,2200,0.0,0.0
259,lot6,-1,-1,-1.0,-1.0
260,lot2_general,1219,1219,0.0,0.0
260,lot2_premium,324,324,0.0,0.0
260,lot3,1192,1192,0.0,0.0
260,lot4_general,1430,1430,0.0,0.0
260,lot4_premium,352,352,0.0,0.0
260,lot5,2200,2200,0.0,0.0
260,lot6,-1,-1,-1.0,-1.0
261,lot2_general,1219,1030,189.0,0.15504511894995898
261,lot2_premium,324,279,45.0,0.1388888888888889
261,lot3,1192,847,345.0,0.28942953020134227
261,lot4_general,1430,1081,349.0,0.24405594405594405
261,lot4_premium,352,225,127.0,0.36079545454545453
261,lot5,2200,2200,0.0,0.0
261,lot6,-1,-1,-1.0,-1.0
262,lot2_general,1219,1039,180.0,0.14766201804757997
262,lot2_premium,324,282,42.0,0.12962962962962962
262,lot3,1192,884,308.0,0.25838926174496646
262,lot4_general,1430,1080,350.0,0.24475524475524477
262,lot4_premium,352,223,129.0,0.3664772727272727
262,lot5,2200,2200,0.0,0.0
262,lot6,-1,-1,-1.0,-1.0
263,lot2_general,1219,1027,192.0,0.15750615258408532
263,lot2_premium,324,284,40.0,0.12345679012345678
263,lot3,1192,862,330.0,0.27684563758389263
263,lot4_general,1430,1089,341.0,0.23846153846153847
263,lot4_premium,352,225,127.0,0.36079545454545453
263,lot5,2200,2200,0.0,0.0
263,lot6,-1,-1,-1.0,-1.0
264,lot2_general,1219,1219,0.0,0.0
264,lot2_premium,324,324,0.0,0.0
264,lot3,1192,1192,0.0,0.0
264,lot4_general,1430,1430,0.0,0.0
264,lot4_premium,352,352,0.0,0.0
264,lot5,2200,2200,0.0,0.0
264,lot6,-1,-1,-1.0,-1.0
265,lot2_general,1219,979,240.0,0.19688269073010664
265,lot2_premium,324,285,39.0,0.12037037037037036
265,lot3,1192,812,380.0,0.3187919463087248
265,lot4_general,1430,1021,409.0,0.28601398601398603
265,lot4_premium,352,208,144.0,0.4090909090909091
265,lot5,2200,2200,0.0,0.0
265,lot6,-1,-1,-1.0,-1.0
266,lot2_general,1219,1027,192.0,0.15750615258408532
266,lot2_premium,324,301,23.0,0.07098765432098765
266,lot3,1192,871,321.0,0.26929530201342283
266,lot4_general,1430,1149,281.0,0.1965034965034965
266,lot4_premium,352,240,112.0,0.3181818181818182
266,lot5,2200,2200,0.0,0.0
266,lot6,-1,-1,-1.0,-1.0
267,lot2_general,1219,1219,0.0,0.0
267,lot2_premium,324,324,0.0,0.0
267,lot3,1192,1192,0.0,0.0
267,lot4_general,1430,1430,0.0,0.0
267,lot4_premium,352,352,0.0,0.0
267,lot5,2200,2200,0.0,0.0
267,lot6,-1,-1,-1.0,-1.0
268,lot2_general,1219,1011,208.0,0.17063166529942575
268,lot2_premium,324,287,37.0,0.11419753086419752
268,lot3,1192,883,309.0,0.25922818791946306
268,lot4_general,1430,1070,360.0,0.2517482517482518
268,lot4_premium,352,205,147.0,0.41761363636363635
268,lot5,2200,2200,0.0,0.0
268,lot6,-1,-1,-1.0,-1.0
269,lot2_general,1219,1029,190.0,0.15586546349466776
269,lot2_premium,324,277,47.0,0.14506172839506173
269,lot3,1192,899,293.0,0.24580536912751677
269,lot4_general,1430,1029,401.0,0.2804195804195804
269,lot4_premium,352,209,143.0,0.40625
269,lot5,2200,2200,0.0,0.0
269,lot6,-1,-1,-1.0,-1.0
270,lot2_general,1219,979,240.0,0.19688269073010664
270,lot2_premium,324,285,39.0,0.12037037037037036
270,lot3,1192,812,380.0,0.3187919463087248
270,lot4_general,1430,1021,409.0,0.28601398601398603
270,lot4_premium,352,208,144.0,0.4090909090909091
270,lot5,2200,2200,0.0,0.0
270,lot6,-1,-1,-1.0,-1.0
271,lot2_general,1219,1219,0.0,0.0
271,lot2_premium,324,324,0.0,0.0
271,lot3,1192,1192,0.0,0.0
271,lot4_general,1430,1430,0.0,0.0
271,lot4_premium,352,352,0.0,0.0
271,lot5,2200,2200,0.0,0.0
271,lot6,-1,-1,-1.0,-1.0
272,lot2_general,1219,943,276.0,0.22641509433962265
272,lot2_premium,324,295,29.0,0.08950617283950617
272,lot3,1192,800,392.0,0.3288590604026846
272,lot4_general,1430,1035,395.0,0.2762237762237762
272,lot4_premium,352,201,151.0,0.4289772727272727
272,lot5,2200,2200,0.0,0.0
272,lot6,-1,-1,-1.0,-1.0
273,lot2_general,1219,1002,217.0,0.17801476620180476
273,lot2_premium,324,294,30.0,0.09259259259259259
273,lot3,1192,893,299.0,0.25083892617449666
273,lot4_general,1430,1152,278.0,0.1944055944055944
273,lot4_premium,352,265,87.0,0.2471590909090909
273,lot5,2200,2200,0.0,0.0
273,lot6,-1,-1,-1.0,-1.0
274,lot2_general,1219,1219,0.0,0.0
274,lot2_premium,324,324,0.0,0.0
274,lot3,1192,1192,0.0,0.0
274,lot4_general,1430,1430,0.0,0.0
274,lot4_premium,352,352,0.0,0.0
274,lot5,2200,2200,0.0,0.0
274,lot6,-1,-1,-1.0,-1.0
275,lot2_general,1219,1012,207.0,0.16981132075471697
275,lot2_premium,324,284,40.0,0.12345679012345678
275,lot3,1192,922,270.0,0.22651006711409397
275,lot4_general,1430,1010,420.0,0.2937062937062937
275,lot4_premium,352,195,157.0,0.4460227272727273
275,lot5,2200,2200,0.0,0.0
275,lot6,-1,-1,-1.0,-1.0
276,lot2_general,1219,1013,206.0,0.1689909762100082
276,lot2_premium,324,276,48.0,0.14814814814814814
276,lot3,1192,888,304.0,0.2550335570469799
276,lot4_general,1430,1040,390.0,0.2727272727272727
276,lot4_premium,352,187,165.0,0.46875
276,lot5,2200,2200,0.0,0.0
276,lot6,-1,-1,-1.0,-1.0
277,lot2_general,1219,999,220.0,0.1804757998359311
277,lot2_premium,324,280,44.0,0.13580246913580246
277,lot3,1192,872,320.0,0.2684563758389262
277,lot4_general,1430,1022,408.0,0.2853146853146853
277,lot4_premium,352,193,159.0,0.45170454545454547
277,lot5,2200,2200,0.0,0.0
277,lot6,-1,-1,-1.0,-1.0
278,lot2_general,1219,1219,0.0,0.0
278,lot2_premium,324,324,0.0,0.0
278,lot3,1192,1192,0.0,0.0
278,lot4_general,1430,1430,0.0,0.0
278,lot4_premium,352,352,0.0,0.0
278,lot5,2200,2200,0.0,0.0
278,lot6,-1,-1,-1.0,-1.0
279,lot2_general,1219,974,245.0,0.20098441345365053
279,lot2_premium,324,287,37.0,0.11419753086419752
279,lot3,1192,837,355.0,0.2978187919463087
279,lot4_general,1430,980,450.0,0.3146853146853147
279,lot4_premium,352,183,169.0,0.48011363636363635
279,lot5,2200,2200,0.0,0.0
279,lot6,-1,-1,-1.0,-1.0
280,lot2_general,1219,978,241.0,0.19770303527481542
280,lot2_premium,324,297,27.0,0.08333333333333333
280,lot3,1192,855,337.0,0.2827181208053691
280,lot4_general,1430,1067,363.0,0.25384615384615383
280,lot4_premium,352,216,136.0,0.38636363636363635
280,lot5,2200,2200,0.0,0.0
280,lot6,-1,-1,-1.0,-1.0
281,lot2_general,1219,1003,216.0,0.17719442165709598
281,lot2_premium,324,280,44.0,0.13580246913580246
281,lot3,1192,858,334.0,0.2802013422818792
281,lot4_general,1430,978,452.0,0.31608391608391606
281,lot4_premium,352,145,207.0,0.5880681818181818
281,lot5,2200,2200,0.0,0.0
281,lot6,-1,-1,-1.0,-1.0
282,lot2_general,1219,991,228.0,0.18703855619360132
282,lot2_premium,324,276,48.0,0.14814814814814814
282,lot3,1192,872,320.0,0.2684563758389262
282,lot4_general,1430,1020,410.0,0.2867132867132867
282,lot4_premium,352,165,187.0,0.53125
282,lot5,2200,2200,0.0,0.0
282,lot6,-1,-1,-1.0,-1.0
283,lot2_general,1219,972,247.0,0.2026251025430681
283,lot2_premium,324,280,44.0,0.13580246913580246
283,lot3,1192,854,338.0,0.2835570469798658
283,lot4_general,1430,990,440.0,0.3076923076923077
283,lot4_premium,352,167,185.0,0.5255681818181818
283,lot5,2200,2200,0.0,0.0
283,lot6,-1,-1,-1.0,-1.0
284,lot2_general,1219,981,238.0,0.19524200164068908
284,lot2_premium,324,282,42.0,0.12962962962962962
284,lot3,1192,777,415.0,0.34815436241610737
284,lot4_general,1430,950,480.0,0.3356643356643357
284,lot4_premium,352,163,189.0,0.5369318181818182
284,lot5,2200,2200,0.0,0.0
284,lot6,-1,-1,-1.0,-1.0
285,lot2_general,1219,1219,0.0,0.0
285,lot2_premium,324,324,0.0,0.0
285,lot3,1192,1192,0.0,0.0
285,lot4_general,1430,1430,0.0,0.0
285,lot4_premium,352,352,0.0,0.0
285,lot5,2200,2200,0.0,0.0
285,lot6,-1,-1,-1.0,-1.0
286,lot2_general,1219,704,515.0,0.4224774405250205
286,lot2_premium,324,267,57.0,0.17592592592592593
286,lot3,1192,646,546.0,0.45805369127516776
286,lot4_general,1430,880,550.0,0.38461538461538464
286,lot4_premium,352,143,209.0,0.59375
286,lot5,2200,2200,0.0,0.0
286,lot6,-1,-1,-1.0,-1.0
287,lot2_general,1219,790,429.0,0.35192780968006565
287,lot2_premium,324,267,57.0,0.17592592592592593
287,lot3,1192,663,529.0,0.4437919463087248
287,lot4_general,1430,991,439.0,0.30699300699300697
287,lot4_premium,352,186,166.0,0.4715909090909091
287,lot5,2200,2200,0.0,0.0
287,lot6,-1,-1,-1.0,-1.0
288,lot2_general,1219,872,347.0,0.28465955701394585
288,lot2_premium,324,223,101.0,0.3117283950617284
288,lot3,1192,621,571.0,0.4790268456375839
288,lot4_general,1430,1030,400.0,0.27972027972027974
288,lot4_premium,352,181,171.0,0.48579545454545453
288,lot5,2200,2200,0.0,0.0
288,lot6,-1,-1,-1.0,-1.0
289,lot2_general,1219,859,360.0,0.29532403609515995
289,lot2_premium,324,274,50.0,0.15432098765432098
289,lot3,1192,782,410.0,0.34395973154362414
289,lot4_general,1430,1002,428.0,0.2993006993006993
289,lot4_premium,352,185,167.0,0.4744318181818182
289,lot5,2200,2200,0.0,0.0
289,lot6,-1,-1,-1.0,-1.0
290,lot2_general,1219,936,283.0,0.2321575061525841
290,lot2_premium,324,270,54.0,0.16666666666666666
290,lot3,1192,839,353.0,0.2961409395973154
290,lot4_general,1430,1045,385.0,0.2692307692307692
290,lot4_premium,352,173,179.0,0.5085227272727273
290,lot5,2200,2200,0.0,0.0
290,lot6,-1,-1,-1.0,-1.0
291,lot2_general,1219,979,240.0,0.19688269073010664
291,lot2_premium,324,282,42.0,0.12962962962962962
291,lot3,1192,847,345.0,0.28942953020134227
291,lot4_general,1430,1032,398.0,0.2783216783216783
291,lot4_premium,352,190,162.0,0.4602272727272727
291,lot5,2200,2200,0.0,0.0
291,lot6,-1,-1,-1.0,-1.0
292,lot2_general,1219,1219,0.0,0.0
292,lot2_premium,324,324,0.0,0.0
292,lot3,1192,1192,0.0,0.0
292,lot4_general,1430,1430,0.0,0.0
292,lot4_premium,352,352,0.0,0.0
292,lot5,2200,2200,0.0,0.0
292,lot6,-1,-1,-1.0,-1.0
293,lot2_general,1219,929,290.0,0.23789991796554552
293,lot2_premium,324,291,33.0,0.10185185185185185
293,lot3,1192,777,415.0,0.34815436241610737
293,lot4_general,1430,1009,421.0,0.2944055944055944
293,lot4_premium,352,181,171.0,0.48579545454545453
293,lot5,2200,2200,0.0,0.0
293,lot6,-1,-1,-1.0,-1.0
294,lot2_general,1219,966,253.0,0.20754716981132076
294,lot2_premium,324,298,26.0,0.08024691358024691
294,lot3,1192,822,370.0,0.3104026845637584
294,lot4_general,1430,1067,363.0,0.25384615384615383
294,lot4_premium,352,217,135.0,0.3835227272727273
294,lot5,2200,2200,0.0,0.0
294,lot6,-1,-1,-1.0,-1.0
295,lot2_general,1219,941,278.0,0.2280557834290402
295,lot2_premium,324,273,51.0,0.1574074074074074
295,lot3,1192,785,407.0,0.3414429530201342
295,lot4_general,1430,1056,374.0,0.26153846153846155
295,lot4_premium,352,213,139.0,0.39488636363636365
295,lot5,2200,2200,0.0,0.0
295,lot6,-1,-1,-1.0,-1.0
296,lot2_general,1219,950,269.0,0.2206726825266612
296,lot2_premium,324,276,48.0,0.14814814814814814
296,lot3,1192,814,378.0,0.31711409395973156
296,lot4_general,1430,960,470.0,0.32867132867132864
296,lot4_premium,352,167,185.0,0.5255681818181818
296,lot5,2200,2200,0.0,0.0
296,lot6,-1,-1,-1.0,-1.0
297,lot2_general,1219,966,253.0,0.20754716981132076
297,lot2_premium,324,285,39.0,0.12037037037037036
297,lot3,1192,801,391.0,0.32802013422818793
297,lot4_general,1430,943,487.0,0.34055944055944054
297,lot4_premium,352,162,190.0,0.5397727272727273
297,lot5,2200,2200,0.0,0.0
297,lot6,-1,-1,-1.0,-1.0
298,lot2_general,1219,904,315.0,0.258408531583265
298,lot2_premium,324,269,55.0,0.1697530864197531
298,lot3,1192,770,422.0,0.3540268456375839
298,lot4_general,1430,925,505.0,0.3531468531468531
298,lot4_premium,352,159,193.0,0.5482954545454546
298,lot5,2200,2200,0.0,0.0
298,lot6,-1,-1,-1.0,-1.0
299,lot2_general,1219,1219,0.0,0.0
299,lot2_premium,324,324,0.0,0.0
299,lot3,1192,1192,0.0,0.0
299,lot4_general,1430,1430,0.0,0.0
299,lot4_premium,352,352,0.0,0.0
299,lot5,2200,2200,0.0,0.0
299,lot6,-1,-1,-1.0,-1.0
300,lot2_general,1219,889,330.0,0.27071369975389664
300,lot2_premium,324,273,51.0,0.1574074074074074
300,lot3,1192,697,495.0,0.4152684563758389
300,lot4_general,1430,887,543.0,0.3797202797202797
300,lot4_premium,352,152,200.0,0.5681818181818182
300,lot5,2200,2200,0.0,0.0
300,lot6,-1,-1,-1.0,-1.0
301,lot2_general,1219,960,259.0,0.2124692370795734
301,lot2_premium,324,289,35.0,0.10802469135802469
301,lot3,1192,733,459.0,0.3850671140939597
301,lot4_general,1430,1032,398.0,0.2783216783216783
301,lot4_premium,352,204,148.0,0.42045454545454547
301,lot5,2200,2200,0.0,0.0
301,lot6,-1,-1,-1.0,-1.0
302,lot2_general,1219,839,380.0,0.3117309269893355
302,lot2_premium,324,220,104.0,0.32098765432098764
302,lot3,1192,521,671.0,0.5629194630872483
302,lot4_general,1430,913,517.0,0.36153846153846153
302,lot4_premium,352,144,208.0,0.5909090909090909
302,lot5,2200,2200,0.0,0.0
302,lot6,-1,-1,-1.0,-1.0
303,lot2_general,1219,979,240.0,0.19688269073010664
303,lot2_premium,324,289,35.0,0.10802469135802469
303,lot3,1192,882,310.0,0.2600671140939597
303,lot4_general,1430,900,530.0,0.3706293706293706
303,lot4_premium,352,148,204.0,0.5795454545454546
303,lot5,2200,2200,0.0,0.0
303,lot6,-1,-1,-1.0,-1.0
304,lot2_general,1219,1009,210.0,0.1722723543888433
304,lot2_premium,324,288,36.0,0.1111111111111111
304,lot3,1192,901,291.0,0.24412751677852348
304,lot4_general,1430,880,550.0,0.38461538461538464
304,lot4_premium,352,146,206.0,0.5852272727272727
304,lot5,2200,2200,0.0,0.0
304,lot6,-1,-1,-1.0,-1.0
305,lot2_general,1219,1219,0.0,0.0
305,lot2_premium,324,324,0.0,0.0
305,lot3,1192,1192,0.0,0.0
305,lot4_general,1430,1430,0.0,0.0
305,lot4_premium,352,352,0.0,0.0
305,lot5,2200,2200,0.0,0.0
305,lot6,-1,-1,-1.0,-1.0
306,lot2_general,1219,1219,0.0,0.0
306,lot2_premium,324,324,0.0,0.0
306,lot3,1192,1192,0.0,0.0
306,lot4_general,1430,1430,0.0,0.0
306,lot4_premium,352,352,0.0,0.0
306,lot5,2200,2200,0.0,0.0
306,lot6,-1,-1,-1.0,-1.0
307,lot2_general,1219,779,440.0,0.3609515996718622
307,lot2_premium,324,274,50.0,0.15432098765432098
307,lot3,1192,682,510.0,0.4278523489932886
307,lot4_general,1430,900,530.0,0.3706293706293706
307,lot4_premium,352,136,216.0,0.6136363636363636
307,lot5,2200,2200,0.0,0.0
307,lot6,-1,-1,-1.0,-1.0
308,lot2_general,1219,903,316.0,0.25922887612797374
308,lot2_premium,324,281,43.0,0.13271604938271606
308,lot3,1192,771,421.0,0.35318791946308725
308,lot4_general,1430,1384,46.0,0.032167832167832165
308,lot4_premium,352,183,169.0,0.48011363636363635
308,lot5,2200,2200,0.0,0.0
308,lot6,-1,-1,-1.0,-1.0
309,lot2_general,1219,1219,0.0,0.0
309,lot2_premium,324,324,0.0,0.0
309,lot3,1192,1192,0.0,0.0
309,lot4_general,1430,1430,0.0,0.0
309,lot4_premium,352,352,0.0,0.0
309,lot5,2200,2200,0.0,0.0
309,lot6,-1,-1,-1.0,-1.0
310,lot2_general,1219,890,329.0,0.26989335520918784
310,lot2_premium,324,279,45.0,0.1388888888888889
310,lot3,1192,794,398.0,0.3338926174496644
310,lot4_general,1430,870,560.0,0.3916083916083916
310,lot4_premium,352,132,220.0,0.625
310,lot5,2200,2200,0.0,0.0
310,lot6,-1,-1,-1.0,-1.0
311,lot2_general,1219,929,290.0,0.23789991796554552
311,lot2_premium,324,281,43.0,0.13271604938271606
311,lot3,1192,784,408.0,0.3422818791946309
311,lot4_general,1430,892,538.0,0.37622377622377623
311,lot4_premium,352,105,247.0,0.7017045454545454
311,lot5,2200,2200,0.0,0.0
311,lot6,-1,-1,-1.0,-1.0
312,lot2_general,1219,918,301.0,0.2469237079573421
312,lot2_premium,324,280,44.0,0.13580246913580246
312,lot3,1192,804,388.0,0.32550335570469796
312,lot4_general,1430,910,520.0,0.36363636363636365
312,lot4_premium,352,125,227.0,0.6448863636363636
312,lot5,2200,2200,0.0,0.0
312,lot6,-1,-1,-1.0,-1.0
313,lot2_general,1219,823,396.0,0.324856439704676
313,lot2_premium,324,275,49.0,0.15123456790123457
313,lot3,1192,672,520.0,0.436241610738255
313,lot4_general,1430,865,565.0,0.3951048951048951
313,lot4_premium,352,104,248.0,0.7045454545454546
313,lot5,2200,2200,0.0,0.0
313,lot6,-1,-1,-1.0,-1.0
314,lot2_general,1219,698,521.0,0.4273995077932732
314,lot2_premium,324,274,50.0,0.15432098765432098
314,lot3,1192,582,610.0,0.511744966442953
314,lot4_general,1430,800,630.0,0.4405594405594406
314,lot4_premium,352,108,244.0,0.6931818181818182
314,lot5,2200,2200,0.0,0.0
314,lot6,-1,-1,-1.0,-1.0
315,lot2_general,1219,793,426.0,0.3494667760459393
315,lot2_premium,324,281,43.0,0.13271604938271606
315,lot3,1192,729,463.0,0.3884228187919463
315,lot4_general,1430,944,486.0,0.33986013986013985
315,lot4_premium,352,159,193.0,0.5482954545454546
315,lot5,2200,2200,0.0,0.0
315,lot6,-1,-1,-1.0,-1.0
316,lot2_general,1219,816,403.0,0.3305988515176374
316,lot2_premium,324,273,51.0,0.1574074074074074
316,lot3,1192,732,460.0,0.3859060402684564
316,lot4_general,1430,802,628.0,0.43916083916083914
316,lot4_premium,352,114,238.0,0.6761363636363636
316,lot5,2200,2200,0.0,0.0
316,lot6,-1,-1,-1.0,-1.0
317,lot2_general,1219,860,359.0,0.2945036915504512
317,lot2_premium,324,274,50.0,0.15432098765432098
317,lot3,1192,741,451.0,0.3783557046979866
317,lot4_general,1430,784,646.0,0.45174825174825173
317,lot4_premium,352,97,255.0,0.7244318181818182
317,lot5,2200,2200,0.0,0.0
317,lot6,-1,-1,-1.0,-1.0
318,lot2_general,1219,877,342.0,0.280557834290402
318,lot2_premium,324,273,51.0,0.1574074074074074
318,lot3,1192,707,485.0,0.40687919463087246
318,lot4_general,1430,782,648.0,0.45314685314685316
318,lot4_premium,352,100,252.0,0.7159090909090909
318,lot5,2200,2200,0.0,0.0
318,lot6,-1,-1,-1.0,-1.0
319,lot2_general,1219,829,390.0,0.3199343724364233
319,lot2_premium,324,277,47.0,0.14506172839506173
319,lot3,1192,612,580.0,0.4865771812080537
319,lot4_general,1430,818,612.0,0.427972027972028
319,lot4_premium,352,107,245.0,0.6960227272727273
319,lot5,2200,2200,0.0,0.0
319,lot6,-1,-1,-1.0,-1.0
320,lot2_general,1219,639,580.0,0.47579983593109104
320,lot2_premium,324,268,56.0,0.1728395061728395
320,lot3,1192,553,639.0,0.5360738255033557
320,lot4_general,1430,632,798.0,0.558041958041958
320,lot4_premium,352,74,278.0,0.7897727272727273
320,lot5,2200,2200,0.0,0.0
320,lot6,-1,-1,-1.0,-1.0
321,lot2_general,1219,589,630.0,0.51681706316653
321,lot2_premium,324,262,62.0,0.19135802469135801
321,lot3,1192,502,690.0,0.5788590604026845
321,lot4_general,1430,620,810.0,0.5664335664335665
321,lot4_premium,352,76,276.0,0.7840909090909091
321,lot5,2200,2200,0.0,0.0
321,lot6,-1,-1,-1.0,-1.0
322,lot2_general,1219,730,489.0,0.40114848236259226
322,lot2_premium,324,271,53.0,0.16358024691358025
322,lot3,1192,612,580.0,0.4865771812080537
322,lot4_general,1430,825,605.0,0.4230769230769231
322,lot4_premium,352,145,207.0,0.5880681818181818
322,lot5,2200,2200,0.0,0.0
322,lot6,-1,-1,-1.0,-1.0
323,lot2_general,1219,784,435.0,0.35684987694831827
