Day,Date,LOT 2 General Spaces,LOT 2 General Vacancies,LOT 2 General Occupied,LOT 2 General % Capacity,LOT 2 Premium Spaces,LOT 2 Premium Vacancies,LOT 2 Premium Occupied,LOT 2 Premium % Capacity,LOT 3 Spaces,LOT 3 Vacancies,LOT 3 Occupied,LOT 3 % Capacity,LOT 4 General Spaces,LOT 4 General Vacancies,LOT 4 General Occupied,LOT 4 General % Capacity,LOT 4 Premium Spaces,LOT 4 Premium Vacancies,LOT 4 Premium Occupied,LOT 4 Premium % Capacity,LOT 5 Spaces,LOT 5 Vacancies,LOT 5 Occupied,LOT 5 % Capacity,LOT 6 Spaces,LOT 6 Vacancies,LOT 6 Occupied,LOT 6 % Capacity,Total CC Revenue,Total Cash Revenue,Total Revenue
Sunday,2020-12-27,1219,688,531.0,0.43560295324036097,324,280,44.0,0.13580246913580246,1192,610,582.0,0.48825503355704697,1430,921,509.0,0.3559440559440559,352,201,151.0,0.4289772727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,47180.0,6232.0,53412.0
Monday,2020-12-28,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,34019.0,5302.0,39321.0
Tuesday,2020-12-29,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28735.0,5118.0,33853.0
Wednesday,2020-12-30,1219,814,405.0,0.33223954060705496,324,296,28.0,0.08641975308641975,1192,635,557.0,0.4672818791946309,1430,919,511.0,0.35734265734265735,352,209,143.0,0.40625,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26670.0,3440.0,30110.0
Thursday,2020-12-31,1219,834,385.0,0.3158326497128794,324,299,25.0,0.07716049382716049,1192,672,520.0,0.436241610738255,1430,904,526.0,0.3678321678321678,352,188,164.0,0.4659090909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,25660.0,2557.0,28217.0
Friday,2021-01-01,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,17736.0,1268.0,19004.0
Saturday,2021-01-02,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,39054.0,5861.0,44915.0
Sunday,2021-01-03,1219,993,226.0,0.18539786710418377,324,299,25.0,0.07716049382716049,1192,833,359.0,0.3011744966442953,1430,1142,288.0,0.2013986013986014,352,273,79.0,0.22443181818181818,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,47587.0,5038.0,52625.0
Monday,2021-01-04,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,33654.0,4581.0,38235.0
Tuesday,2021-01-05,1219,1016,203.0,0.16652994257588188,324,291,33.0,0.10185185185185185,1192,914,278.0,0.2332214765100671,1430,1063,367.0,0.25664335664335663,352,240,112.0,0.3181818181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,21578.0,2091.0,23669.0
Wednesday,2021-01-06,1219,1015,204.0,0.16735028712059064,324,291,33.0,0.10185185185185185,1192,894,298.0,0.25,1430,1053,377.0,0.2636363636363636,352,233,119.0,0.3380681818181818,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,15782.0,2065.0,17847.0
Thursday,2021-01-07,1219,1022,197.0,0.1616078753076292,324,226,98.0,0.30246913580246915,1192,886,306.0,0.25671140939597314,1430,1084,346.0,0.24195804195804196,352,243,109.0,0.3096590909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,18109.0,1586.0,19695.0
Friday,2021-01-08,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26562.0,1752.0,28314.0
Saturday,2021-01-09,1219,1049,170.0,0.13945857260049221,324,301,23.0,0.07098765432098765,1192,912,280.0,0.2348993288590604,1430,1105,325.0,0.22727272727272727,352,254,98.0,0.2784090909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,16850.0,1226.0,18076.0
Sunday,2021-01-10,1219,984,235.0,0.19278096800656275,324,234,90.0,0.2777777777777778,1192,909,283.0,0.23741610738255034,1430,1252,178.0,0.12447552447552447,352,329,23.0,0.06534090909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,21231.0,3321.0,24552.0
Monday,2021-01-11,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,17614.0,2024.0,19638.0
Tuesday,2021-01-12,1219,1058,161.0,0.1320754716981132,324,286,38.0,0.11728395061728394,1192,920,272.0,0.22818791946308725,1430,1076,354.0,0.24755244755244754,352,231,121.0,0.34375,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,11746.0,1669.0,13415.0
Wednesday,2021-01-13,1219,1044,175.0,0.1435602953240361,324,282,42.0,0.12962962962962962,1192,876,316.0,0.2651006711409396,1430,1048,382.0,0.26713286713286716,352,231,121.0,0.34375,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,14158.0,1394.0,15552.0
Thursday,2021-01-14,1219,1059,160.0,0.13125512715340443,324,289,35.0,0.10802469135802469,1192,902,290.0,0.24328859060402686,1430,1095,335.0,0.23426573426573427,352,247,105.0,0.29829545454545453,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,20207.0,1064.0,21271.0
Friday,2021-01-15,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28708.0,1717.0,30425.0
Saturday,2021-01-16,1219,949,270.0,0.22149302707136997,324,294,30.0,0.09259259259259259,1192,807,385.0,0.32298657718120805,1430,1032,398.0,0.2783216783216783,352,208,144.0,0.4090909090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,13671.0,1409.0,15080.0
Sunday,2021-01-17,1219,1023,196.0,0.16078753076292043,324,292,32.0,0.09876543209876543,1192,824,368.0,0.3087248322147651,1430,1095,335.0,0.23426573426573427,352,226,126.0,0.35795454545454547,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,19749.0,3398.0,23147.0
Monday,2021-01-18,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28202.0,2975.0,31177.0
Tuesday,2021-01-19,1219,1030,189.0,0.15504511894995898,324,279,45.0,0.1388888888888889,1192,847,345.0,0.28942953020134227,1430,1081,349.0,0.24405594405594405,352,225,127.0,0.36079545454545453,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,14952.0,1758.0,16710.0
Wednesday,2021-01-20,1219,1039,180.0,0.14766201804757997,324,282,42.0,0.12962962962962962,1192,884,308.0,0.25838926174496646,1430,1080,350.0,0.24475524475524477,352,223,129.0,0.3664772727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,14585.0,599.0,15184.0
Thursday,2021-01-21,1219,1027,192.0,0.15750615258408532,324,284,40.0,0.12345679012345678,1192,862,330.0,0.27684563758389263,1430,1089,341.0,0.23846153846153847,352,225,127.0,0.36079545454545453,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,19838.0,1325.0,21163.0
Friday,2021-01-22,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,29656.0,1384.0,31040.0
Saturday,2021-01-23,1219,979,240.0,0.19688269073010664,324,285,39.0,0.12037037037037036,1192,812,380.0,0.3187919463087248,1430,1021,409.0,0.28601398601398603,352,208,144.0,0.4090909090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,13397.0,1112.0,14509.0
Sunday,2021-01-24,1219,1027,192.0,0.15750615258408532,324,301,23.0,0.07098765432098765,1192,871,321.0,0.26929530201342283,1430,1149,281.0,0.1965034965034965,352,240,112.0,0.3181818181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,25278.0,2904.0,28182.0
Monday,2021-01-25,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,25988.0,2615.0,28603.0
Tuesday,2021-01-26,1219,1011,208.0,0.17063166529942575,324,287,37.0,0.11419753086419752,1192,883,309.0,0.25922818791946306,1430,1070,360.0,0.2517482517482518,352,205,147.0,0.41761363636363635,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,11822.0,1674.0,13496.0
Wednesday,2021-01-27,1219,1029,190.0,0.15586546349466776,324,277,47.0,0.14506172839506173,1192,899,293.0,0.24580536912751677,1430,1029,401.0,0.2804195804195804,352,209,143.0,0.40625,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,15212.0,1224.0,16436.0
Thursday,2021-01-28,1219,979,240.0,0.19688269073010664,324,285,39.0,0.12037037037037036,1192,812,380.0,0.3187919463087248,1430,1021,409.0,0.28601398601398603,352,208,144.0,0.4090909090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,22551.0,1130.0,23681.0
Friday,2021-01-29,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,29827.0,1972.0,31799.0
Saturday,2021-01-30,1219,943,276.0,0.22641509433962265,324,295,29.0,0.08950617283950617,1192,800,392.0,0.3288590604026846,1430,1035,395.0,0.2762237762237762,352,201,151.0,0.4289772727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,15556.0,1615.0,17171.0
Sunday,2021-01-31,1219,1002,217.0,0.17801476620180476,324,294,30.0,0.09259259259259259,1192,893,299.0,0.25083892617449666,1430,1152,278.0,0.1944055944055944,352,265,87.0,0.2471590909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,29845.0,4656.0,34501.0
Monday,2021-02-01,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Tuesday,2021-02-02,1219,1012,207.0,0.16981132075471697,324,284,40.0,0.12345679012345678,1192,922,270.0,0.22651006711409397,1430,1010,420.0,0.2937062937062937,352,195,157.0,0.4460227272727273,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,12448.0,1196.0,13644.0
Wednesday,2021-02-03,1219,1013,206.0,0.1689909762100082,324,276,48.0,0.14814814814814814,1192,888,304.0,0.2550335570469799,1430,1040,390.0,0.2727272727272727,352,187,165.0,0.46875,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,16660.0,1020.0,17680.0
Thursday,2021-02-04,1219,999,220.0,0.1804757998359311,324,280,44.0,0.13580246913580246,1192,872,320.0,0.2684563758389262,1430,1022,408.0,0.2853146853146853,352,193,159.0,0.45170454545454547,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,22297.0,1564.0,23861.0
Friday,2021-02-05,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,0.0,0.0,0.0
Saturday,2021-02-06,1219,974,245.0,0.20098441345365053,324,287,37.0,0.11419753086419752,1192,837,355.0,0.2978187919463087,1430,980,450.0,0.3146853146853147,352,183,169.0,0.48011363636363635,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,13816.0,1705.0,15521.0
Sunday,2021-02-07,1219,978,241.0,0.19770303527481542,324,297,27.0,0.08333333333333333,1192,855,337.0,0.2827181208053691,1430,1067,363.0,0.25384615384615383,352,216,136.0,0.38636363636363635,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,30482.0,4443.0,34925.0
Monday,2021-02-08,1219,1003,216.0,0.17719442165709598,324,280,44.0,0.13580246913580246,1192,858,334.0,0.2802013422818792,1430,978,452.0,0.31608391608391606,352,145,207.0,0.5880681818181818,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26747.0,2696.0,29443.0
Tuesday,2021-02-09,1219,991,228.0,0.18703855619360132,324,276,48.0,0.14814814814814814,1192,872,320.0,0.2684563758389262,1430,1020,410.0,0.2867132867132867,352,165,187.0,0.53125,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,17150.0,1901.0,19051.0
Wednesday,2021-02-10,1219,972,247.0,0.2026251025430681,324,280,44.0,0.13580246913580246,1192,854,338.0,0.2835570469798658,1430,990,440.0,0.3076923076923077,352,167,185.0,0.5255681818181818,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,17517.0,1355.0,18872.0
Thursday,2021-02-11,1219,981,238.0,0.19524200164068908,324,282,42.0,0.12962962962962962,1192,777,415.0,0.34815436241610737,1430,950,480.0,0.3356643356643357,352,163,189.0,0.5369318181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26270.0,1428.0,27698.0
Friday,2021-02-12,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,32780.0,1612.0,34392.0
Saturday,2021-02-13,1219,704,515.0,0.4224774405250205,324,267,57.0,0.17592592592592593,1192,646,546.0,0.45805369127516776,1430,880,550.0,0.38461538461538464,352,143,209.0,0.59375,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,17050.0,2086.0,19136.0
Sunday,2021-02-14,1219,790,429.0,0.35192780968006565,324,267,57.0,0.17592592592592593,1192,663,529.0,0.4437919463087248,1430,991,439.0,0.30699300699300697,352,186,166.0,0.4715909090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26615.0,3659.0,30274.0
Monday,2021-02-15,1219,872,347.0,0.28465955701394585,324,223,101.0,0.3117283950617284,1192,621,571.0,0.4790268456375839,1430,1030,400.0,0.27972027972027974,352,181,171.0,0.48579545454545453,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,37570.0,3765.0,41335.0
Tuesday,2021-02-16,1219,859,360.0,0.29532403609515995,324,274,50.0,0.15432098765432098,1192,782,410.0,0.34395973154362414,1430,1002,428.0,0.2993006993006993,352,185,167.0,0.4744318181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26231.0,2434.0,28665.0
Wednesday,2021-02-17,1219,936,283.0,0.2321575061525841,324,270,54.0,0.16666666666666666,1192,839,353.0,0.2961409395973154,1430,1045,385.0,0.2692307692307692,352,173,179.0,0.5085227272727273,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,20688.0,1619.0,22307.0
Thursday,2021-02-18,1219,979,240.0,0.19688269073010664,324,282,42.0,0.12962962962962962,1192,847,345.0,0.28942953020134227,1430,1032,398.0,0.2783216783216783,352,190,162.0,0.4602272727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,22985.0,1635.0,24620.0
Friday,2021-02-19,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,30406.0,2217.0,32623.0
Saturday,2021-02-20,1219,929,290.0,0.23789991796554552,324,291,33.0,0.10185185185185185,1192,777,415.0,0.34815436241610737,1430,1009,421.0,0.2944055944055944,352,181,171.0,0.48579545454545453,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,21019.0,2829.0,23848.0
Sunday,2021-02-21,1219,966,253.0,0.20754716981132076,324,298,26.0,0.08024691358024691,1192,822,370.0,0.3104026845637584,1430,1067,363.0,0.25384615384615383,352,217,135.0,0.3835227272727273,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,34971.0,4350.0,39321.0
Monday,2021-02-22,1219,941,278.0,0.2280557834290402,324,273,51.0,0.1574074074074074,1192,785,407.0,0.3414429530201342,1430,1056,374.0,0.26153846153846155,352,213,139.0,0.39488636363636365,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26347.0,3262.0,29609.0
Tuesday,2021-02-23,1219,950,269.0,0.2206726825266612,324,276,48.0,0.14814814814814814,1192,814,378.0,0.31711409395973156,1430,960,470.0,0.32867132867132864,352,167,185.0,0.5255681818181818,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,16418.0,1348.0,17766.0
Wednesday,2021-02-24,1219,966,253.0,0.20754716981132076,324,285,39.0,0.12037037037037036,1192,801,391.0,0.32802013422818793,1430,943,487.0,0.34055944055944054,352,162,190.0,0.5397727272727273,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,23965.0,1056.0,25021.0
Thursday,2021-02-25,1219,904,315.0,0.258408531583265,324,269,55.0,0.1697530864197531,1192,770,422.0,0.3540268456375839,1430,925,505.0,0.3531468531468531,352,159,193.0,0.5482954545454546,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,24487.0,1392.0,25879.0
Friday,2021-02-26,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,38428.0,1981.0,40409.0
Saturday,2021-02-27,1219,889,330.0,0.27071369975389664,324,273,51.0,0.1574074074074074,1192,697,495.0,0.4152684563758389,1430,887,543.0,0.3797202797202797,352,152,200.0,0.5681818181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,21301.0,1569.0,22870.0
Sunday,2021-02-28,1219,960,259.0,0.2124692370795734,324,289,35.0,0.10802469135802469,1192,733,459.0,0.3850671140939597,1430,1032,398.0,0.2783216783216783,352,204,148.0,0.42045454545454547,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,39853.0,4917.0,44770.0
Monday,2021-03-01,1219,839,380.0,0.3117309269893355,324,220,104.0,0.32098765432098764,1192,521,671.0,0.5629194630872483,1430,913,517.0,0.36153846153846153,352,144,208.0,0.5909090909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,36373.0,3772.0,40145.0
Tuesday,2021-03-02,1219,979,240.0,0.19688269073010664,324,289,35.0,0.10802469135802469,1192,882,310.0,0.2600671140939597,1430,900,530.0,0.3706293706293706,352,148,204.0,0.5795454545454546,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,8753.0,1190.0,9943.0
Wednesday,2021-03-03,1219,1009,210.0,0.1722723543888433,324,288,36.0,0.1111111111111111,1192,901,291.0,0.24412751677852348,1430,880,550.0,0.38461538461538464,352,146,206.0,0.5852272727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,19509.0,1561.0,21070.0
Thursday,2021-03-04,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,26948.0,1773.0,28721.0
Friday,2021-03-05,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,35757.0,1615.0,37372.0
Saturday,2021-03-06,1219,779,440.0,0.3609515996718622,324,274,50.0,0.15432098765432098,1192,682,510.0,0.4278523489932886,1430,900,530.0,0.3706293706293706,352,136,216.0,0.6136363636363636,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,19679.0,2129.0,21808.0
Sunday,2021-03-07,1219,903,316.0,0.25922887612797374,324,281,43.0,0.13271604938271606,1192,771,421.0,0.35318791946308725,1430,1384,46.0,0.032167832167832165,352,183,169.0,0.48011363636363635,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,40624.0,4334.0,44958.0
Monday,2021-03-08,1219,1219,0.0,0.0,324,324,0.0,0.0,1192,1192,0.0,0.0,1430,1430,0.0,0.0,352,352,0.0,0.0,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,32547.0,3726.0,36273.0
Tuesday,2021-03-09,1219,890,329.0,0.26989335520918784,324,279,45.0,0.1388888888888889,1192,794,398.0,0.3338926174496644,1430,870,560.0,0.3916083916083916,352,132,220.0,0.625,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,22000.0,1774.0,23774.0
Wednesday,2021-03-10,1219,929,290.0,0.23789991796554552,324,281,43.0,0.13271604938271606,1192,784,408.0,0.3422818791946309,1430,892,538.0,0.37622377622377623,352,105,247.0,0.7017045454545454,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,22143.0,2204.0,24347.0
Thursday,2021-03-11,1219,918,301.0,0.2469237079573421,324,280,44.0,0.13580246913580246,1192,804,388.0,0.32550335570469796,1430,910,520.0,0.36363636363636365,352,125,227.0,0.6448863636363636,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,27012.0,2438.0,29450.0
Friday,2021-03-12,1219,823,396.0,0.324856439704676,324,275,49.0,0.15123456790123457,1192,672,520.0,0.436241610738255,1430,865,565.0,0.3951048951048951,352,104,248.0,0.7045454545454546,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,39615.0,1819.0,41434.0
Saturday,2021-03-13,1219,698,521.0,0.4273995077932732,324,274,50.0,0.15432098765432098,1192,582,610.0,0.511744966442953,1430,800,630.0,0.4405594405594406,352,108,244.0,0.6931818181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,23317.0,2841.0,26158.0
Sunday,2021-03-14,1219,793,426.0,0.3494667760459393,324,281,43.0,0.13271604938271606,1192,729,463.0,0.3884228187919463,1430,944,486.0,0.33986013986013985,352,159,193.0,0.5482954545454546,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,35140.0,4906.0,40046.0
Monday,2021-03-15,1219,816,403.0,0.3305988515176374,324,273,51.0,0.1574074074074074,1192,732,460.0,0.3859060402684564,1430,802,628.0,0.43916083916083914,352,114,238.0,0.6761363636363636,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,37779.0,4845.0,42624.0
Tuesday,2021-03-16,1219,860,359.0,0.2945036915504512,324,274,50.0,0.15432098765432098,1192,741,451.0,0.3783557046979866,1430,784,646.0,0.45174825174825173,352,97,255.0,0.7244318181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,29443.0,2172.0,31615.0
Wednesday,2021-03-17,1219,877,342.0,0.280557834290402,324,273,51.0,0.1574074074074074,1192,707,485.0,0.40687919463087246,1430,782,648.0,0.45314685314685316,352,100,252.0,0.7159090909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,24640.0,1876.0,26516.0
Thursday,2021-03-18,1219,829,390.0,0.3199343724364233,324,277,47.0,0.14506172839506173,1192,612,580.0,0.4865771812080537,1430,818,612.0,0.427972027972028,352,107,245.0,0.6960227272727273,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,35502.0,2344.0,37846.0
Friday,2021-03-19,1219,639,580.0,0.47579983593109104,324,268,56.0,0.1728395061728395,1192,553,639.0,0.5360738255033557,1430,632,798.0,0.558041958041958,352,74,278.0,0.7897727272727273,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,45759.0,1725.0,47484.0
Saturday,2021-03-20,1219,589,630.0,0.51681706316653,324,262,62.0,0.19135802469135801,1192,502,690.0,0.5788590604026845,1430,620,810.0,0.5664335664335665,352,76,276.0,0.7840909090909091,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,28063.0,3193.0,31256.0
Sunday,2021-03-21,1219,730,489.0,0.40114848236259226,324,271,53.0,0.16358024691358025,1192,612,580.0,0.4865771812080537,1430,825,605.0,0.4230769230769231,352,145,207.0,0.5880681818181818,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,50924.0,5882.0,56806.0
Monday,2021-03-22,1219,784,435.0,0.35684987694831827,324,268,56.0,0.1728395061728395,1192,531,661.0,0.5545302013422819,1430,677,753.0,0.5265734265734265,352,97,255.0,0.7244318181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,44402.0,6052.0,50454.0
Tuesday,2021-03-23,1219,778,441.0,0.36177194421657094,324,261,63.0,0.19444444444444445,1192,622,570.0,0.47818791946308725,1430,728,702.0,0.4909090909090909,352,100,252.0,0.7159090909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,30407.0,3638.0,34045.0
Wednesday,2021-03-24,1219,781,438.0,0.35931091058244463,324,267,57.0,0.17592592592592593,1192,641,551.0,0.462248322147651,1430,688,742.0,0.5188811188811189,352,85,267.0,0.7585227272727273,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,34495.0,2961.0,37456.0
Thursday,2021-03-25,1219,639,580.0,0.47579983593109104,324,256,68.0,0.20987654320987653,1192,625,567.0,0.47567114093959734,1430,715,715.0,0.5,352,91,261.0,0.7414772727272727,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,31597.0,1969.0,33566.0
Friday,2021-03-26,1219,516,703.0,0.5767022149302707,324,258,66.0,0.2037037037037037,1192,438,754.0,0.6325503355704698,1430,580,850.0,0.5944055944055944,352,88,264.0,0.75,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,46980.0,2710.0,49690.0
Saturday,2021-03-27,1219,473,746.0,0.6119770303527482,324,258,66.0,0.2037037037037037,1192,412,780.0,0.6543624161073825,1430,520,910.0,0.6363636363636364,352,72,280.0,0.7954545454545454,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,31848.0,4330.0,36178.0
Sunday,2021-03-28,1219,692,527.0,0.43232157506152585,324,297,27.0,0.08333333333333333,1192,507,685.0,0.5746644295302014,1430,766,664.0,0.4643356643356643,352,130,222.0,0.6306818181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,50158.0,5534.0,55692.0
Monday,2021-03-29,1219,745,474.0,0.3888433141919606,324,277,47.0,0.14506172839506173,1192,504,688.0,0.5771812080536913,1430,706,724.0,0.5062937062937063,352,97,255.0,0.7244318181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,49370.0,6262.0,55632.0
Tuesday,2021-03-30,1219,779,440.0,0.3609515996718622,324,282,42.0,0.12962962962962962,1192,572,620.0,0.5201342281879194,1430,785,645.0,0.45104895104895104,352,119,233.0,0.6619318181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,35590.0,4459.0,40049.0
Wednesday,2021-03-31,1219,762,457.0,0.3748974569319114,324,284,40.0,0.12345679012345678,1192,537,655.0,0.549496644295302,1430,714,716.0,0.5006993006993007,352,122,230.0,0.6534090909090909,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,34654.0,3242.0,37896.0
Thursday,2021-04-01,1219,734,485.0,0.3978671041837572,324,283,41.0,0.12654320987654322,1192,513,679.0,0.5696308724832215,1430,745,685.0,0.479020979020979,352,97,255.0,0.7244318181818182,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,40587.0,2533.0,43120.0
Friday,2021-04-02,1219,684,535.0,0.4388843314191961,324,272,52.0,0.16049382716049382,1192,470,722.0,0.6057046979865772,1430,683,747.0,0.5223776223776224,352,103,249.0,0.7073863636363636,2200.0,2200.0,0.0,0.0,-1,-1,-1,-1,43679.0,3582.0,47261.0
