Year,Month,Airline,Passengers
2019,July,China Airlines,16992
2019,July,Delta Air Lines,33402
2019,July,Frontier Airlines,26644
2019,July,JetBlue,8515
2019,July,Southwest Airlines,232035
2019,July,United Airlines,40748
2019,July,Volaris,9984
2019,July,All Others,342
2019,August,Alaska Airlines,36811
2019,August,American Airlines,90847
2019,August,China Airlines,16303
2019,August,Delta Air Lines,34092
2019,August,Frontier Airlines,26256
2019,August,JetBlue,8787
2019,August,Southwest Airlines,241390
2019,August,United Airlines,40480
2019,August,Volaris,9017
2019,August,All Others,119
2019,September,Alaska Airlines,28886
2019,September,American Airlines,77514
2019,September,China Airlines,14518
2019,September,Delta Air Lines,29036
2019,September,Frontier Airlines,24168
2019,September,JetBlue,5794
2019,September,Southwest Airlines,241545
2019,September,United Airlines,36607
2019,September,Volaris,8637
2019,September,All Others,2619
2019,October,Alaska Airlines,32651
2019,October,American Airlines,83260
2019,October,China Airlines,15005
2019,October,Delta Air Lines,32859
2019,October,Frontier Airlines,29880
2019,October,JetBlue,5983
2019,October,Southwest Airlines,251859
2019,October,United Airlines,41892
2019,October,Volaris,9227
2019,October,All Others,1934
2019,November,Alaska Airlines,39922
2019,November,American Airlines,82194
2019,November,China Airlines,17203
2019,November,Delta Air Lines,29990
2019,November,Frontier Airlines,25515
2019,November,JetBlue,9380
2019,November,Southwest Airlines,249659
2019,November,United Airlines,37969
2019,November,Volaris,8983
2019,November,All Others,824
2019,December,Alaska Airlines,46638
2019,December,American Airlines,89285
2019,December,China Airlines,18455
2019,December,Delta Air Lines,32120
2019,December,Frontier Airlines,19246
2019,December,JetBlue,8580
2019,December,Southwest Airlines,254909
2019,December,United Airlines,34308
2019,December,Volaris,11248
2019,December,All Others,0
2020,January,Alaska Airlines,38527
2020,January,American Airlines,81848
2020,January,China Airlines,20269
2020,January,Delta Air Lines,32120
2020,January,Frontier Airlines,11231
2020,January,JetBlue,5822
2020,January,Southwest Airlines,219289
2020,January,United Airlines,34580
2020,January,Volaris,10551
2020,January,All Others,302
2020,February,Alaska Airlines,37246
2020,February,American Airlines,77834
2020,February,China Airlines,12339
2020,February,Delta Air Lines,28520
2020,February,Frontier Airlines,17582
2020,February,JetBlue,5198
2020,February,Southwest Airlines,200244
2020,February,United Airlines,32458
2020,February,Volaris,8530
2020,February,All Others,0
2020,March,Alaska Airlines,18936
2020,March,American Airlines,44501
2020,March,China Airlines,5606
2020,March,Delta Air Lines,18093
2020,March,Frontier Airlines,11858
2020,March,JetBlue,4505
2020,March,Southwest Airlines,105974
2020,March,United Airlines,17562
2020,March,Volaris,6689
2020,March,All Others,52
2020,April,Alaska Airlines,2177
2020,April,American Airlines,7941
2020,April,China Airlines,0
2020,April,Delta Air Lines,3158
2020,April,Frontier Airlines,977
2020,April,JetBlue,47
2020,April,Southwest Airlines,13324
2020,April,United Airlines,1212
2020,April,Volaris,0
2020,April,All Others,80
2020,May,Alaska Airlines,6387
2020,May,American Airlines,20294
2020,May,China Airlines,0
2020,May,Delta Air Lines,6145
2020,May,Frontier Airlines,3279
2020,May,JetBlue,0
2020,May,Southwest Airlines,30160
2020,May,United Airlines,4031
2020,May,Volaris,0
2020,May,All Others,0
2020,June,Alaska Airlines,9290
2020,June,American Airlines,30244
2020,June,China Airlines,0
2020,June,Delta Air Lines,10507
2020,June,Frontier Airlines,6572
2020,June,JetBlue,0
2020,June,Southwest Airlines,79938
2020,June,United Airlines,3777
2020,June,Volaris,1400
2020,June,All Others,301
2020,July,Alaska Airlines,14293
2020,July,American Airlines,38973
2020,July,China Airlines,0
2020,July,Delta Air Lines,16142
2020,July,Frontier Airlines,5016
2020,July,JetBlue,0
2020,July,Southwest Airlines,88794
2020,July,United Airlines,9386
2020,July,Volaris,3616
2020,July,All Others,1
2020,August,Alaska Airlines,12864
2020,August,American Airlines,45145
2020,August,China Airlines,0
2020,August,Delta Air Lines,17674
2020,August,Frontier Airlines,7625
2020,August,JetBlue,0
2020,August,Southwest Airlines,95701
2020,August,United Airlines,14133
2020,August,Volaris,3389
2020,August,All Others,0
2020,September,Alaska Airlines,12750
2020,September,American Airlines,44186
2020,September,China Airlines,0
2020,September,Delta Air Lines,18508
2020,September,Frontier Airlines,5281
2020,September,JetBlue,0
2020,September,Southwest Airlines,92881
2020,September,United Airlines,17825
2020,September,Volaris,3570
2020,September,All Others,36
2020,October,Alaska Airlines,19690
2020,October,American Airlines,48259
2020,October,China Airlines,0
2020,October,Delta Air Lines,25815
2020,October,Frontier Airlines,4848
2020,October,JetBlue,0
2020,October,Southwest Airlines,95310
2020,October,United Airlines,19851
2020,October,Volaris,4149
2020,October,All Others,0
2020,November,Alaska Airlines,19510
2020,November,American Airlines,45383
2020,November,China Airlines,0
2020,November,Delta Air Lines,25086
2020,November,Frontier Airlines,5775
2020,November,JetBlue,0
2020,November,Southwest Airlines,90258
2020,November,United Airlines,19514
2020,November,Volaris,7200
2020,November,All Others,0
2020,December,Alaska Airlines,14916
2020,December,American Airlines,40565
2020,December,China Airlines,0
2020,December,Delta Air Lines,25801
2020,December,Frontier Airlines,3996
2020,December,JetBlue,0
2020,December,Southwest Airlines,82569
2020,December,United Airlines,14932
2020,December,Volaris,7755
2020,December,All Others,0
2021,January,Alaska Airlines,12108
2021,January,American Airlines,35887
2021,January,China Airlines,0
2021,January,Delta Air Lines,20597
2021,January,Frontier Airlines,2654
2021,January,JetBlue,0
2021,January,Southwest Airlines,62364
2021,January,United Airlines,11775
2021,January,Volaris,6475
2021,January,All Others,0
2021,February,Alaska Airlines,13948
2021,February,American Airlines,31374
2021,February,China Airlines,0
2021,February,Delta Air Lines,20453
2021,February,Frontier Airlines,6708
2021,February,JetBlue,0
2021,February,Southwest Airlines,66732
2021,February,United Airlines,10995
2021,February,Volaris,2021
2021,February,All Others,62
2021,March,Alaska Airlines,21810
2021,March,American Airlines,54337
2021,March,China Airlines,0
2021,March,Delta Air Lines,30360
2021,March,Frontier Airlines,21489
2021,March,Hawaiian Airlines,3007
2021,March,JetBlue,0
2021,March,Southwest Airlines,110336
2021,March,United Airlines,15498
2021,March,Volaris,2654
2021,March,All Others,0
2021,April,Alaska Airlines,29918
2021,April,American Airlines,60437
2021,April,China Airlines,0
2021,April,Delta Air Lines,35425
2021,April,Frontier Airlines,19143
2021,April,Hawaiian Airlines,5664
2021,April,JetBlue,0
2021,April,Southwest Airlines,127376
2021,April,United Airlines,17223
2021,April,Volaris,3598
2021,April,All Others,0
2021,May,Alaska Airlines,36081
2021,May,American Airlines,74239
2021,May,China Airlines,0
2021,May,Delta Air Lines,50604
2021,May,Frontier Airlines,26700
2021,May,Hawaiian Airlines,7491
2021,May,JetBlue,0
2021,May,Southwest Airlines,143135
2021,May,United Airlines,17398
2021,May,Volaris,11289
2021,May,All Others,0
2021,June,Alaska Airlines,43710
2021,June,American Airlines,93726
2021,June,China Airlines,327
2021,June,Delta Air Lines,53330
2021,June,Frontier Airlines,44019
2021,June,Hawaiian Airlines,10578
2021,June,JetBlue,4437
2021,June,Southwest Airlines,149988
2021,June,United Airlines,19646
2021,June,Volaris,11324
2021,June,All Others,0
2021,July,Alaska Airlines,38171
2021,July,American Airlines,98753
2021,July,Avianca,2755
2021,July,China Airlines,427
2021,July,Delta Air Lines,59398
2021,July,Frontier Airlines,58302
2021,July,Hawaiian Airlines,11019
2021,July,JetBlue,6502
2021,July,Southwest Airlines,163944
2021,July,United Airlines,26206
2021,July,Volaris,12489
2021,July,All Others,0
2021,August,Alaska Airlines,45034
2021,August,American Airlines,89982
2021,August,Avianca,2423
2021,August,China Airlines,387
2021,August,Delta Air Lines,59211
2021,August,Frontier Airlines,58881
2021,August,Hawaiian Airlines,10480
2021,August,JetBlue,5718
2021,August,Southwest Airlines,150774
2021,August,United Airlines,33721
2021,August,Volaris,10790
2021,August,All Others,221
2021,September,Alaska Airlines,37403
2021,September,American Airlines,85199
2021,September,Avianca,2143
