Year,Month,Airline,Passengers
2024,August,Volaris El Salvador,0
2024,August,All Others,0
2024,September,Alaska Airlines,46927
2024,September,American Airlines,92865
2024,September,Avianca,3684
2024,September,China Airlines,14300
2024,September,Delta Air Lines,60289
2024,September,Frontier Airlines,101114
2024,September,Hawaiian Airlines,10449
2024,September,JetBlue,9709
2024,September,New Pacific Airlines,0
2024,September,Southwest Airlines,209398
2024,September,United Airlines,44565
2024,September,Volaris,12518
2024,September,Volaris El Salvador,0
2024,September,All Others,197
2024,October,Alaska Airlines,48485
2024,October,American Airlines,99871
2024,October,Avelo Airlines,975
2024,October,Avianca,4040
2024,October,China Airlines,16188
2024,October,Delta Air Lines,65438
2024,October,Frontier Airlines,104214
2024,October,Hawaiian Airlines,11036
2024,October,JetBlue,9009
2024,October,New Pacific Airlines,0
2024,October,Southwest Airlines,221638
2024,October,United Airlines,49058
2024,October,Volaris,12852
2024,October,Volaris El Salvador,0
2024,October,All Others,49
2024,November,Alaska Airlines,50989
2024,November,American Airlines,93272
2024,November,Avelo Airlines,1057
2024,November,Avianca,3772
2024,November,China Airlines,18046
2024,November,Delta Air Lines,56527
2024,November,Frontier Airlines,93943
2024,November,Hawaiian Airlines,10102
2024,November,JetBlue,0
2024,November,New Pacific Airlines,0
2024,November,Southwest Airlines,217982
2024,November,United Airlines,44486
2024,November,Volaris,10535
2024,November,Volaris El Salvador,0
2024,November,All Others,198
2024,December,Alaska Airlines,45908
2024,December,American Airlines,101885
2024,December,Avelo Airlines,1640
2024,December,Avianca,3910
2024,December,China Airlines,18168
2024,December,Delta Air Lines,60259
2024,December,Frontier Airlines,76295
2024,December,Hawaiian Airlines,11163
2024,December,JetBlue,0
2024,December,New Pacific Airlines,0
2024,December,Southwest Airlines,222759
2024,December,United Airlines,46052
2024,December,Volaris,15616
2024,December,Volaris El Salvador,0
2024,December,All Others,231
2025,January,Alaska Airlines,41461
2025,January,American Airlines,73062
2025,January,Avelo Airlines,436
2025,January,Avianca,4080
2025,January,China Airlines,19643
2025,January,Delta Air Lines,44404
2025,January,Frontier Airlines,55360
2025,January,Hawaiian Airlines,10227
2025,January,JetBlue,0
2025,January,New Pacific Airlines,0
2025,January,Southwest Airlines,166948
2025,January,United Airlines,42252
2025,January,Volaris,16597
2025,January,Volaris El Salvador,0
2025,January,All Others,769
2025,February,Alaska Airlines,33779
2025,February,American Airlines,72619
2025,February,Avelo Airlines,702
2025,February,Avianca,3595
2025,February,China Airlines,16148
2025,February,Delta Air Lines,41053
2025,February,Frontier Airlines,48323
2025,February,Hawaiian Airlines,9872
2025,February,JetBlue,0
2025,February,New Pacific Airlines,0
2025,February,Southwest Airlines,169227
2025,February,United Airlines,38711
2025,February,Volaris,16064
2025,February,Volaris El Salvador,0
2025,February,All Others,0
2025,March,Alaska Airlines,39907
2025,March,American Airlines,94453
2025,March,Avelo Airlines,1236
2025,March,Avianca,3656
2025,March,China Airlines,17853
2025,March,Delta Air Lines,50634
2025,March,Frontier Airlines,62629
2025,March,Hawaiian Airlines,10964
2025,March,JetBlue,0
2025,March,New Pacific Airlines,0
2025,March,Southwest Airlines,218703
2025,March,United Airlines,42150
2025,March,Volaris,17172
2025,March,Volaris El Salvador,0
2025,March,All Others,262
2025,April,Alaska Airlines,40165
2025,April,American Airlines,91369
2025,April,Avelo Airlines,0
2025,April,Avianca,3475
2025,April,China Airlines,17535
2025,April,Delta Air Lines,58275
2025,April,Frontier Airlines,64004
2025,April,Hawaiian Airlines,10836
2025,April,JetBlue,321
2025,April,New Pacific Airlines,0
2025,April,Southwest Airlines,222401
2025,April,United Airlines,49485
2025,April,Volaris,15546
2025,April,Volaris El Salvador,0
2025,April,All Others,2211
2025,May,Alaska Airlines,46850
2025,May,American Airlines,97825
2025,May,Avelo Airlines,0
2025,May,Avianca,3805
2025,May,China Airlines,16967
2025,May,Delta Air Lines,63220
2025,May,Frontier Airlines,62924
2025,May,Hawaiian Airlines,10881
2025,May,JetBlue,9615
2025,May,New Pacific Airlines,0
2025,May,Southwest Airlines,239031
2025,May,United Airlines,60668
2025,May,Volaris,18029
2025,May,Volaris El Salvador,0
2025,May,All Others,322
2025,June,Alaska Airlines,55483
2025,June,American Airlines,102329
2025,June,Avelo Airlines,0
2025,June,Avianca,5113
2025,June,China Airlines,16964
2025,June,Delta Air Lines,65801
2025,June,Frontier Airlines,69347
2025,June,Hawaiian Airlines,4040
2025,June,JetBlue,9557
2025,June,New Pacific Airlines,0
2025,June,Southwest Airlines,235598
2025,June,Starlux Airlines,7743
2025,June,United Airlines,68229
2025,June,Volaris,17684
2025,June,Volaris El Salvador,0
2025,June,All Others,1899
2025,July,Alaska Airlines,68060
2025,July,American Airlines,104591
2025,July,Avelo Airlines,0
2025,July,Avianca,5805
2025,July,China Airlines,16237
2025,July,Delta Air Lines,68590
2025,July,Frontier Airlines,73182
2025,July,Hawaiian Airlines,0
2025,July,JetBlue,9323
2025,July,New Pacific Airlines,0
2025,July,Southwest Airlines,230813
2025,July,Starlux Airlines,7930
2025,July,United Airlines,69987
2025,July,Volaris,26982
2025,July,Volaris El Salvador,0
2025,July,All Others,412
2025,August,Alaska Airlines,64337
2025,August,American Airlines,96720
2025,August,Avelo Airlines,0
2025,August,Avianca,5491
2025,August,China Airlines,14241
2025,August,Delta Air Lines,64351
2025,August,Frontier Airlines,69122
2025,August,Hawaiian Airlines,0
2025,August,JetBlue,10079
2025,August,New Pacific Airlines,0
2025,August,Southwest Airlines,221475
2025,August,Starlux Airlines,7569
2025,August,United Airlines,66259
2025,August,Volaris,26649
2025,August,Volaris El Salvador,0
2025,August,All Others,527
